cod_ine,pob_total,pob_2023
4625001001,890,858
4625001002,1073,1071
4625001003,1254,1155
4625001005,1186,1081
4625001007,857,810
4625001008,1054,989
4625001009,1140,1080
4625001010,1073,1062
4625001011,1513,1464
4625001012,906,888
4625001013,1489,1464
4625001014,1481,1236
4625001017,744,711
4625001019,2645,2364
4625001022,1501,1487
4625001023,1258,961
4625001024,1237,1197
4625001025,1097,1046
4625001026,1718,1637
4625001028,1033,839
4625001030,890,882
4625001031,916,837
4625001032,1380,1465
4625001034,1819,1750
4625002001,1044,1003
4625002003,1100,990
4625002004,1646,1543
4625002006,1434,1346
4625002008,1331,1255
4625002009,1179,1112
4625002010,955,967
4625002013,1425,1331
4625002014,857,844
4625002015,1225,1156
4625002016,1483,1419
4625002018,1913,611
4625002019,1184,1137
4625002020,1078,1040
4625002021,825,787
4625002023,1274,1187
4625002024,754,718
4625002025,813,768
4625002026,987,1020
4625002030,832,816
4625002031,1146,1079
4625002032,890,870
4625002033,1641,1586
4625002035,1061,1088
4625002036,835,772
4625002037,1362,1303
4625002039,1614,1539
4625002041,800,768
4625002042,1096,1029
4625002043,765,701
4625002044,722,731
4625002045,1424,1431
4625002046,954,913
4625002047,855,780
4625002050,1145,1104
4625002051,1418,1347
4625002053,944,952
4625002054,736,723
4625002055,1317,1275
4625002057,1026,999
4625003001,897,853
4625003002,1675,1576
4625003004,1846,1724
4625003007,1203,1161
4625003008,1367,1255
4625003010,1933,1763
4625003013,1926,1772
4625003015,1190,1120
4625003017,1343,1291
4625003018,929,897
4625003019,1316,1173
4625003020,1571,1535
4625003021,1420,1357
4625003023,1452,1421
4625003025,985,971
4625003026,1188,1153
4625003027,2355,2362
4625003029,973,873
4625003030,1091,1069
4625003032,970,920
4625003033,1057,999
4625003034,1397,1286
4625003035,1672,1610
4625003036,1582,1526
4625003037,1214,1134
4625003038,714,693
4625003040,991,964
4625003041,2094,1957
4625003044,1588,1538
4625003046,1652,1690
4625003047,1529,1530
4625003048,1775,1755
4625003049,1172,1147
4625003050,1314,1295
4625003052,2052,1990
4625003053,903,877
4625003055,820,774
4625004001,1311,1281
4625004002,762,760
4625004003,1598,1497
4625004004,940,896
4625004005,1238,1162
4625004006,1447,1408
4625004007,1330,1299
4625004008,942,885
4625004009,1190,1090
4625004010,1102,1149
4625004011,855,874
4625004012,1767,1649
4625004014,867,853
4625004015,1204,1133
4625004016,1480,1295
4625004017,1231,1235
4625004018,2209,2083
4625004019,1449,1426
4625004020,1259,1269
4625004021,2024,2050
4625004022,1240,1248
4625004023,916,913
4625004024,2578,2405
4625004025,2006,1657
4625004026,2039,1682
4625004027,1871,1732
4625004028,1572,1506
4625004029,1313,1272
4625004030,1847,1890
4625005001,1157,1134
4625005002,986,923
4625005003,871,800
4625005004,1515,1465
4625005005,1286,1309
4625005006,1284,1285
4625005007,1094,1057
4625005008,1900,1910
4625005009,1044,993
4625005010,886,857
4625005011,1267,1170
